enter_threshold_v,exit_threshold_v,snapshot_window_s,min_duration_s,voltage,std_dev,rmse,num_snapshots
0.9,0.6,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.6,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.7,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.7,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.8,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.8,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,1.0,-0.0184834,nan,0.5825874969,0
