derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.02,0.1,0.8,16,0.9053483647771363,0.0725998919424634,0.03252056682286375,3
0.02,0.2,0.8,8,0.9042686033090888,0.0727740985990824,0.03252402089091122,2
0.02,0.2,0.95,8,0.9042686033090888,0.0727740985990824,0.03252402089091122,3
0.01,0.2,0.99,16,0.9008300704289454,0.07246176058393118,0.0366490945710547,2
0.02,0.1,0.7,16,0.9008300704289454,0.07246176058393118,0.0366490945710547,3
0.005,0.2,0.9,16,0.7732518736450756,0.2365750790952352,0.03844616595492434,2
0.01,0.1,0.9,16,0.7732518736450756,0.2365750790952352,0.03844616595492434,2
0.001,0.1,0.99,8,0.8972784109246729,0.07277416315201252,0.039514499475327036,2
0.02,0.2,0.7,8,0.8972784109246729,0.07277416315201252,0.039514499475327036,2
0.05,0.01,0.7,8,0.8970813153424833,0.0725998919424634,0.04078761625751681,2
0.05,0.05,0.7,8,0.8987373215084483,0.04274147511346063,0.04495928829155171,2
0.02,0.2,0.9,4,0.8917762101385184,0.07277416315201252,0.045016700261481524,2
0.05,0.1,0.8,4,0.8917762101385184,0.07277416315201252,0.045016700261481524,2
0.001,0.2,0.7,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.001,0.2,0.8,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.001,0.2,0.9,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.001,0.2,0.95,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.001,0.2,0.99,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.005,0.1,0.9,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.005,0.2,0.99,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.01,0.1,0.9,4,0.9021528756650601,0.028818032318493524,0.046134257734939954,2
0.02,0.2,0.7,4,0.8894822535180245,0.0725998919424634,0.04838667808197561,2
0.02,0.2,0.8,4,0.8894822535180245,0.0725998919424634,0.04838667808197561,2
0.05,0.1,0.9,8,0.5507500395256046,0.2370067930403139,0.04858966787439534,4
0.02,0.05,0.9,32,0.618103310126575,0.3354316912630984,0.04867444792657505,3
0.01,0.2,0.7,32,0.43751001122641314,0.37401414637210706,0.049924947973586875,2
0.01,0.2,0.8,32,0.43751001122641314,0.37401414637210706,0.049924947973586875,2
0.01,0.05,0.9,32,0.8845375251345085,0.07275965356783944,0.05219324346549148,2
